agent,task_id,composite_v4,composite_score,raw_score_v3,answer_chars,score_file,answer_file
camel-ai,dr_cross_deep_0030,0.0,0.0,0.1033,7105,scores/camel-ai__dr_cross_deep_0030_matrix.score.json,answers/camel-ai__dr_cross_deep_0030_matrix.md
claude-code,dr_cross_deep_0030,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0030_matrix.score.json,answers/claude-code__dr_cross_deep_0030_matrix.md
deerflow,dr_cross_deep_0030,0.4729,0.0,0.4625,7201,scores/deerflow__dr_cross_deep_0030_matrix.score.json,answers/deerflow__dr_cross_deep_0030_matrix.md
flowsearcher-ds,dr_cross_deep_0030,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0030_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0030_matrix.md
gpt-researcher,dr_cross_deep_0030,0.0,0.0,0.1267,6815,scores/gpt-researcher__dr_cross_deep_0030_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0030_matrix.md
ii-researcher,dr_cross_deep_0030,0.0,0.0,0.0983,5799,scores/ii-researcher__dr_cross_deep_0030_matrix.score.json,answers/ii-researcher__dr_cross_deep_0030_matrix.md
langchain-odr,dr_cross_deep_0030,0.0,0.0,0.0892,5613,scores/langchain-odr__dr_cross_deep_0030_matrix.score.json,answers/langchain-odr__dr_cross_deep_0030_matrix.md
ldr,dr_cross_deep_0030,0.0,0.0,0.0575,4348,scores/ldr__dr_cross_deep_0030_matrix.score.json,answers/ldr__dr_cross_deep_0030_matrix.md
opencode,dr_cross_deep_0030,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0030_matrix.score.json,answers/opencode__dr_cross_deep_0030_matrix.md
qx-agents,dr_cross_deep_0030,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0030_matrix.score.json,answers/qx-agents__dr_cross_deep_0030_matrix.md
smolagents,dr_cross_deep_0030,0.0,0.0,0.0625,2776,scores/smolagents__dr_cross_deep_0030_matrix.score.json,answers/smolagents__dr_cross_deep_0030_matrix.md
camel-ai,dr_cross_deep_0031,0.0,0.0,0.1342,8308,scores/camel-ai__dr_cross_deep_0031_matrix.score.json,answers/camel-ai__dr_cross_deep_0031_matrix.md
claude-code,dr_cross_deep_0031,0.0,0.0,0.0,215,scores/claude-code__dr_cross_deep_0031_matrix.score.json,answers/claude-code__dr_cross_deep_0031_matrix.md
deerflow,dr_cross_deep_0031,0.5037,0.0,0.4817,8685,scores/deerflow__dr_cross_deep_0031_matrix.score.json,answers/deerflow__dr_cross_deep_0031_matrix.md
flowsearcher-ds,dr_cross_deep_0031,0.0,0.0,0.16,22875,scores/flowsearcher-ds__dr_cross_deep_0031_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0031_matrix.md
gpt-researcher,dr_cross_deep_0031,0.0,0.0,0.1575,6710,scores/gpt-researcher__dr_cross_deep_0031_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0031_matrix.md
ii-researcher,dr_cross_deep_0031,0.5527,0.0333,0.44,8397,scores/ii-researcher__dr_cross_deep_0031_matrix.score.json,answers/ii-researcher__dr_cross_deep_0031_matrix.md
langchain-odr,dr_cross_deep_0031,0.0,0.0,0.165,15105,scores/langchain-odr__dr_cross_deep_0031_matrix.score.json,answers/langchain-odr__dr_cross_deep_0031_matrix.md
ldr,dr_cross_deep_0031,0.0,0.0,0.1167,4617,scores/ldr__dr_cross_deep_0031_matrix.score.json,answers/ldr__dr_cross_deep_0031_matrix.md
opencode,dr_cross_deep_0031,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0031_matrix.score.json,answers/opencode__dr_cross_deep_0031_matrix.md
qx-agents,dr_cross_deep_0031,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0031_matrix.score.json,answers/qx-agents__dr_cross_deep_0031_matrix.md
smolagents,dr_cross_deep_0031,0.0,0.0,0.0975,4554,scores/smolagents__dr_cross_deep_0031_matrix.score.json,answers/smolagents__dr_cross_deep_0031_matrix.md
camel-ai,dr_cross_deep_0032,0.0,0.0,0.0658,5173,scores/camel-ai__dr_cross_deep_0032_matrix.score.json,answers/camel-ai__dr_cross_deep_0032_matrix.md
claude-code,dr_cross_deep_0032,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0032_matrix.score.json,answers/claude-code__dr_cross_deep_0032_matrix.md
deerflow,dr_cross_deep_0032,0.2628,0.0333,0.4025,11998,scores/deerflow__dr_cross_deep_0032_matrix.score.json,answers/deerflow__dr_cross_deep_0032_matrix.md
flowsearcher-ds,dr_cross_deep_0032,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0032_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0032_matrix.md
gpt-researcher,dr_cross_deep_0032,0.0,0.0,0.1617,8365,scores/gpt-researcher__dr_cross_deep_0032_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0032_matrix.md
ii-researcher,dr_cross_deep_0032,0.0,0.0,0.1425,5978,scores/ii-researcher__dr_cross_deep_0032_matrix.score.json,answers/ii-researcher__dr_cross_deep_0032_matrix.md
langchain-odr,dr_cross_deep_0032,0.0,0.0,0.1683,9428,scores/langchain-odr__dr_cross_deep_0032_matrix.score.json,answers/langchain-odr__dr_cross_deep_0032_matrix.md
ldr,dr_cross_deep_0032,0.0,0.0,0.1133,3640,scores/ldr__dr_cross_deep_0032_matrix.score.json,answers/ldr__dr_cross_deep_0032_matrix.md
opencode,dr_cross_deep_0032,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0032_matrix.score.json,answers/opencode__dr_cross_deep_0032_matrix.md
qx-agents,dr_cross_deep_0032,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0032_matrix.score.json,answers/qx-agents__dr_cross_deep_0032_matrix.md
smolagents,dr_cross_deep_0032,0.0,0.0,0.0942,2677,scores/smolagents__dr_cross_deep_0032_matrix.score.json,answers/smolagents__dr_cross_deep_0032_matrix.md
claude-code,dr_cross_deep_0033,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0033_matrix.score.json,answers/claude-code__dr_cross_deep_0033_matrix.md
deerflow,dr_cross_deep_0033,0.4604,0.0,0.4125,7780,scores/deerflow__dr_cross_deep_0033_matrix.score.json,answers/deerflow__dr_cross_deep_0033_matrix.md
flowsearcher-ds,dr_cross_deep_0033,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0033_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0033_matrix.md
gpt-researcher,dr_cross_deep_0033,0.0,0.0,0.1425,7431,scores/gpt-researcher__dr_cross_deep_0033_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0033_matrix.md
ii-researcher,dr_cross_deep_0033,0.4592,0.0,0.4092,4370,scores/ii-researcher__dr_cross_deep_0033_matrix.score.json,answers/ii-researcher__dr_cross_deep_0033_matrix.md
langchain-odr,dr_cross_deep_0033,0.0,0.0,0.1608,11663,scores/langchain-odr__dr_cross_deep_0033_matrix.score.json,answers/langchain-odr__dr_cross_deep_0033_matrix.md
ldr,dr_cross_deep_0033,0.0,0.0,0.1175,5686,scores/ldr__dr_cross_deep_0033_matrix.score.json,answers/ldr__dr_cross_deep_0033_matrix.md
opencode,dr_cross_deep_0033,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0033_matrix.score.json,answers/opencode__dr_cross_deep_0033_matrix.md
qx-agents,dr_cross_deep_0033,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0033_matrix.score.json,answers/qx-agents__dr_cross_deep_0033_matrix.md
smolagents,dr_cross_deep_0033,0.0,0.0,0.075,2315,scores/smolagents__dr_cross_deep_0033_matrix.score.json,answers/smolagents__dr_cross_deep_0033_matrix.md
claude-code,dr_cross_deep_0034,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0034_matrix.score.json,answers/claude-code__dr_cross_deep_0034_matrix.md
deerflow,dr_cross_deep_0034,0.4772,0.0333,0.4925,11382,scores/deerflow__dr_cross_deep_0034_matrix.score.json,answers/deerflow__dr_cross_deep_0034_matrix.md
flowsearcher-ds,dr_cross_deep_0034,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0034_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0034_matrix.md
gpt-researcher,dr_cross_deep_0034,0.0,0.0,0.1617,8535,scores/gpt-researcher__dr_cross_deep_0034_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0034_matrix.md
ii-researcher,dr_cross_deep_0034,0.3633,0.0,0.42,5756,scores/ii-researcher__dr_cross_deep_0034_matrix.score.json,answers/ii-researcher__dr_cross_deep_0034_matrix.md
langchain-odr,dr_cross_deep_0034,0.0,0.0,0.105,6744,scores/langchain-odr__dr_cross_deep_0034_matrix.score.json,answers/langchain-odr__dr_cross_deep_0034_matrix.md
ldr,dr_cross_deep_0034,0.0,0.0,0.1167,3707,scores/ldr__dr_cross_deep_0034_matrix.score.json,answers/ldr__dr_cross_deep_0034_matrix.md
opencode,dr_cross_deep_0034,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0034_matrix.score.json,answers/opencode__dr_cross_deep_0034_matrix.md
qx-agents,dr_cross_deep_0034,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0034_matrix.score.json,answers/qx-agents__dr_cross_deep_0034_matrix.md
smolagents,dr_cross_deep_0034,0.0,0.0,0.1092,2988,scores/smolagents__dr_cross_deep_0034_matrix.score.json,answers/smolagents__dr_cross_deep_0034_matrix.md
camel-ai,dr_cross_deep_0035,0.0,0.0,0.0875,9448,scores/camel-ai__dr_cross_deep_0035_matrix.score.json,answers/camel-ai__dr_cross_deep_0035_matrix.md
claude-code,dr_cross_deep_0035,0.0,0.0,0.0,215,scores/claude-code__dr_cross_deep_0035_matrix.score.json,answers/claude-code__dr_cross_deep_0035_matrix.md
deerflow,dr_cross_deep_0035,0.5041,0.0333,0.515,8964,scores/deerflow__dr_cross_deep_0035_matrix.score.json,answers/deerflow__dr_cross_deep_0035_matrix.md
flowsearcher-ds,dr_cross_deep_0035,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0035_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0035_matrix.md
gpt-researcher,dr_cross_deep_0035,0.0,0.0,0.0775,11886,scores/gpt-researcher__dr_cross_deep_0035_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0035_matrix.md
ii-researcher,dr_cross_deep_0035,0.0,0.0,0.1533,7519,scores/ii-researcher__dr_cross_deep_0035_matrix.score.json,answers/ii-researcher__dr_cross_deep_0035_matrix.md
langchain-odr,dr_cross_deep_0035,0.0,0.0,0.1317,7287,scores/langchain-odr__dr_cross_deep_0035_matrix.score.json,answers/langchain-odr__dr_cross_deep_0035_matrix.md
ldr,dr_cross_deep_0035,0.0,0.0,0.07,5324,scores/ldr__dr_cross_deep_0035_matrix.score.json,answers/ldr__dr_cross_deep_0035_matrix.md
opencode,dr_cross_deep_0035,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0035_matrix.score.json,answers/opencode__dr_cross_deep_0035_matrix.md
qx-agents,dr_cross_deep_0035,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0035_matrix.score.json,answers/qx-agents__dr_cross_deep_0035_matrix.md
smolagents,dr_cross_deep_0035,0.0,0.0,0.0625,5698,scores/smolagents__dr_cross_deep_0035_matrix.score.json,answers/smolagents__dr_cross_deep_0035_matrix.md
camel-ai,dr_cross_deep_0036,0.0,0.0,0.0733,5748,scores/camel-ai__dr_cross_deep_0036_matrix.score.json,answers/camel-ai__dr_cross_deep_0036_matrix.md
claude-code,dr_cross_deep_0036,0.0,0.0,0.0,215,scores/claude-code__dr_cross_deep_0036_matrix.score.json,answers/claude-code__dr_cross_deep_0036_matrix.md
deerflow,dr_cross_deep_0036,0.2844,0.0219,0.3375,12968,scores/deerflow__dr_cross_deep_0036_matrix.score.json,answers/deerflow__dr_cross_deep_0036_matrix.md
flowsearcher-ds,dr_cross_deep_0036,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0036_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0036_matrix.md
gpt-researcher,dr_cross_deep_0036,0.0,0.0,0.1617,8245,scores/gpt-researcher__dr_cross_deep_0036_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0036_matrix.md
ii-researcher,dr_cross_deep_0036,0.47,0.0333,0.5067,7670,scores/ii-researcher__dr_cross_deep_0036_matrix.score.json,answers/ii-researcher__dr_cross_deep_0036_matrix.md
langchain-odr,dr_cross_deep_0036,0.0,0.0,0.1383,8838,scores/langchain-odr__dr_cross_deep_0036_matrix.score.json,answers/langchain-odr__dr_cross_deep_0036_matrix.md
ldr,dr_cross_deep_0036,0.0,0.0,0.1133,5316,scores/ldr__dr_cross_deep_0036_matrix.score.json,answers/ldr__dr_cross_deep_0036_matrix.md
opencode,dr_cross_deep_0036,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0036_matrix.score.json,answers/opencode__dr_cross_deep_0036_matrix.md
qx-agents,dr_cross_deep_0036,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0036_matrix.score.json,answers/qx-agents__dr_cross_deep_0036_matrix.md
smolagents,dr_cross_deep_0036,0.0,0.0,0.1542,5911,scores/smolagents__dr_cross_deep_0036_matrix.score.json,answers/smolagents__dr_cross_deep_0036_matrix.md
camel-ai,dr_cross_deep_0037,0.0,0.0,0.0392,2834,scores/camel-ai__dr_cross_deep_0037_matrix.score.json,answers/camel-ai__dr_cross_deep_0037_matrix.md
claude-code,dr_cross_deep_0037,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0037_matrix.score.json,answers/claude-code__dr_cross_deep_0037_matrix.md
deerflow,dr_cross_deep_0037,0.0,0.0,0.135,9297,scores/deerflow__dr_cross_deep_0037_matrix.score.json,answers/deerflow__dr_cross_deep_0037_matrix.md
flowsearcher-ds,dr_cross_deep_0037,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0037_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0037_matrix.md
gpt-researcher,dr_cross_deep_0037,0.0,0.0,0.1125,7739,scores/gpt-researcher__dr_cross_deep_0037_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0037_matrix.md
ii-researcher,dr_cross_deep_0037,0.0,0.0,0.1167,6010,scores/ii-researcher__dr_cross_deep_0037_matrix.score.json,answers/ii-researcher__dr_cross_deep_0037_matrix.md
langchain-odr,dr_cross_deep_0037,0.0,0.0,0.1142,10045,scores/langchain-odr__dr_cross_deep_0037_matrix.score.json,answers/langchain-odr__dr_cross_deep_0037_matrix.md
ldr,dr_cross_deep_0037,0.0,0.0,0.0583,4280,scores/ldr__dr_cross_deep_0037_matrix.score.json,answers/ldr__dr_cross_deep_0037_matrix.md
opencode,dr_cross_deep_0037,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0037_matrix.score.json,answers/opencode__dr_cross_deep_0037_matrix.md
qx-agents,dr_cross_deep_0037,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0037_matrix.score.json,answers/qx-agents__dr_cross_deep_0037_matrix.md
smolagents,dr_cross_deep_0037,0.0,0.0,0.0858,3132,scores/smolagents__dr_cross_deep_0037_matrix.score.json,answers/smolagents__dr_cross_deep_0037_matrix.md
camel-ai,dr_cross_deep_0038,0.0,0.0,0.1492,8881,scores/camel-ai__dr_cross_deep_0038_matrix.score.json,answers/camel-ai__dr_cross_deep_0038_matrix.md
claude-code,dr_cross_deep_0038,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0038_matrix.score.json,answers/claude-code__dr_cross_deep_0038_matrix.md
deerflow,dr_cross_deep_0038,0.356,0.0278,0.2833,13788,scores/deerflow__dr_cross_deep_0038_matrix.score.json,answers/deerflow__dr_cross_deep_0038_matrix.md
flowsearcher-ds,dr_cross_deep_0038,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0038_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0038_matrix.md
gpt-researcher,dr_cross_deep_0038,0.0,0.0,0.1542,8452,scores/gpt-researcher__dr_cross_deep_0038_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0038_matrix.md
ii-researcher,dr_cross_deep_0038,0.0,0.0,0.0617,3810,scores/ii-researcher__dr_cross_deep_0038_matrix.score.json,answers/ii-researcher__dr_cross_deep_0038_matrix.md
langchain-odr,dr_cross_deep_0038,0.0,0.0,0.1167,5246,scores/langchain-odr__dr_cross_deep_0038_matrix.score.json,answers/langchain-odr__dr_cross_deep_0038_matrix.md
ldr,dr_cross_deep_0038,0.0,0.0,0.1167,4437,scores/ldr__dr_cross_deep_0038_matrix.score.json,answers/ldr__dr_cross_deep_0038_matrix.md
opencode,dr_cross_deep_0038,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0038_matrix.score.json,answers/opencode__dr_cross_deep_0038_matrix.md
qx-agents,dr_cross_deep_0038,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0038_matrix.score.json,answers/qx-agents__dr_cross_deep_0038_matrix.md
smolagents,dr_cross_deep_0038,0.0,0.0,0.1017,3700,scores/smolagents__dr_cross_deep_0038_matrix.score.json,answers/smolagents__dr_cross_deep_0038_matrix.md
camel-ai,dr_cross_deep_0039,0.367,0.0333,0.5008,10918,scores/camel-ai__dr_cross_deep_0039_matrix.score.json,answers/camel-ai__dr_cross_deep_0039_matrix.md
claude-code,dr_cross_deep_0039,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0039_matrix.score.json,answers/claude-code__dr_cross_deep_0039_matrix.md
deerflow,dr_cross_deep_0039,0.3737,0.025,0.2575,11950,scores/deerflow__dr_cross_deep_0039_matrix.score.json,answers/deerflow__dr_cross_deep_0039_matrix.md
flowsearcher-ds,dr_cross_deep_0039,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0039_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0039_matrix.md
gpt-researcher,dr_cross_deep_0039,0.0,0.0,0.1283,7083,scores/gpt-researcher__dr_cross_deep_0039_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0039_matrix.md
ii-researcher,dr_cross_deep_0039,0.6267,0.0,0.4212,7919,scores/ii-researcher__dr_cross_deep_0039_matrix.score.json,answers/ii-researcher__dr_cross_deep_0039_matrix.md
langchain-odr,dr_cross_deep_0039,0.0,0.0,0.145,7618,scores/langchain-odr__dr_cross_deep_0039_matrix.score.json,answers/langchain-odr__dr_cross_deep_0039_matrix.md
ldr,dr_cross_deep_0039,0.0,0.0,0.1208,5394,scores/ldr__dr_cross_deep_0039_matrix.score.json,answers/ldr__dr_cross_deep_0039_matrix.md
opencode,dr_cross_deep_0039,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0039_matrix.score.json,answers/opencode__dr_cross_deep_0039_matrix.md
qx-agents,dr_cross_deep_0039,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0039_matrix.score.json,answers/qx-agents__dr_cross_deep_0039_matrix.md
smolagents,dr_cross_deep_0039,0.0,0.0,0.1092,2480,scores/smolagents__dr_cross_deep_0039_matrix.score.json,answers/smolagents__dr_cross_deep_0039_matrix.md
camel-ai,dr_cross_deep_0040,0.0,0.0,0.1533,9268,scores/camel-ai__dr_cross_deep_0040_matrix.score.json,answers/camel-ai__dr_cross_deep_0040_matrix.md
claude-code,dr_cross_deep_0040,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0040_matrix.score.json,answers/claude-code__dr_cross_deep_0040_matrix.md
deerflow,dr_cross_deep_0040,0.0,0.0,0.1608,10655,scores/deerflow__dr_cross_deep_0040_matrix.score.json,answers/deerflow__dr_cross_deep_0040_matrix.md
flowsearcher-ds,dr_cross_deep_0040,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0040_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0040_matrix.md
gpt-researcher,dr_cross_deep_0040,0.0,0.0,0.1358,9441,scores/gpt-researcher__dr_cross_deep_0040_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0040_matrix.md
ii-researcher,dr_cross_deep_0040,0.287,0.0146,0.2945,11313,scores/ii-researcher__dr_cross_deep_0040_matrix.score.json,answers/ii-researcher__dr_cross_deep_0040_matrix.md
langchain-odr,dr_cross_deep_0040,0.0,0.0,0.1608,8874,scores/langchain-odr__dr_cross_deep_0040_matrix.score.json,answers/langchain-odr__dr_cross_deep_0040_matrix.md
ldr,dr_cross_deep_0040,0.0,0.0,0.1017,5274,scores/ldr__dr_cross_deep_0040_matrix.score.json,answers/ldr__dr_cross_deep_0040_matrix.md
opencode,dr_cross_deep_0040,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0040_matrix.score.json,answers/opencode__dr_cross_deep_0040_matrix.md
qx-agents,dr_cross_deep_0040,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0040_matrix.score.json,answers/qx-agents__dr_cross_deep_0040_matrix.md
smolagents,dr_cross_deep_0040,0.0,0.0,0.1092,4477,scores/smolagents__dr_cross_deep_0040_matrix.score.json,answers/smolagents__dr_cross_deep_0040_matrix.md
camel-ai,dr_cross_deep_0041,0.0,0.0,0.1575,11850,scores/camel-ai__dr_cross_deep_0041_matrix.score.json,answers/camel-ai__dr_cross_deep_0041_matrix.md
claude-code,dr_cross_deep_0041,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0041_matrix.score.json,answers/claude-code__dr_cross_deep_0041_matrix.md
deerflow,dr_cross_deep_0041,0.4558,0.0333,0.4958,8938,scores/deerflow__dr_cross_deep_0041_matrix.score.json,answers/deerflow__dr_cross_deep_0041_matrix.md
flowsearcher-ds,dr_cross_deep_0041,0.0,0.0,0.1758,27766,scores/flowsearcher-ds__dr_cross_deep_0041_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0041_matrix.md
gpt-researcher,dr_cross_deep_0041,0.0,0.0,0.1425,6981,scores/gpt-researcher__dr_cross_deep_0041_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0041_matrix.md
ii-researcher,dr_cross_deep_0041,0.3602,0.0,0.3208,4727,scores/ii-researcher__dr_cross_deep_0041_matrix.score.json,answers/ii-researcher__dr_cross_deep_0041_matrix.md
langchain-odr,dr_cross_deep_0041,0.0,0.0,0.1758,8573,scores/langchain-odr__dr_cross_deep_0041_matrix.score.json,answers/langchain-odr__dr_cross_deep_0041_matrix.md
ldr,dr_cross_deep_0041,0.0,0.0,0.1167,5386,scores/ldr__dr_cross_deep_0041_matrix.score.json,answers/ldr__dr_cross_deep_0041_matrix.md
opencode,dr_cross_deep_0041,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0041_matrix.score.json,answers/opencode__dr_cross_deep_0041_matrix.md
qx-agents,dr_cross_deep_0041,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0041_matrix.score.json,answers/qx-agents__dr_cross_deep_0041_matrix.md
smolagents,dr_cross_deep_0041,0.0,0.0,0.1092,2904,scores/smolagents__dr_cross_deep_0041_matrix.score.json,answers/smolagents__dr_cross_deep_0041_matrix.md
camel-ai,dr_cross_deep_0042,0.0,0.0,0.0883,6658,scores/camel-ai__dr_cross_deep_0042_matrix.score.json,answers/camel-ai__dr_cross_deep_0042_matrix.md
claude-code,dr_cross_deep_0042,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0042_matrix.score.json,answers/claude-code__dr_cross_deep_0042_matrix.md
deerflow,dr_cross_deep_0042,0.0,0.0,0.1275,6454,scores/deerflow__dr_cross_deep_0042_matrix.score.json,answers/deerflow__dr_cross_deep_0042_matrix.md
flowsearcher-ds,dr_cross_deep_0042,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0042_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0042_matrix.md
gpt-researcher,dr_cross_deep_0042,0.0,0.0,0.1167,6733,scores/gpt-researcher__dr_cross_deep_0042_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0042_matrix.md
ii-researcher,dr_cross_deep_0042,0.5308,0.0,0.4042,5671,scores/ii-researcher__dr_cross_deep_0042_matrix.score.json,answers/ii-researcher__dr_cross_deep_0042_matrix.md
langchain-odr,dr_cross_deep_0042,0.0,0.0,0.1683,7738,scores/langchain-odr__dr_cross_deep_0042_matrix.score.json,answers/langchain-odr__dr_cross_deep_0042_matrix.md
ldr,dr_cross_deep_0042,0.0,0.0,0.0783,3559,scores/ldr__dr_cross_deep_0042_matrix.score.json,answers/ldr__dr_cross_deep_0042_matrix.md
opencode,dr_cross_deep_0042,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0042_matrix.score.json,answers/opencode__dr_cross_deep_0042_matrix.md
qx-agents,dr_cross_deep_0042,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0042_matrix.score.json,answers/qx-agents__dr_cross_deep_0042_matrix.md
smolagents,dr_cross_deep_0042,0.0,0.0,0.0625,3905,scores/smolagents__dr_cross_deep_0042_matrix.score.json,answers/smolagents__dr_cross_deep_0042_matrix.md
camel-ai,dr_cross_deep_0043,0.0,0.0,0.145,7797,scores/camel-ai__dr_cross_deep_0043_matrix.score.json,answers/camel-ai__dr_cross_deep_0043_matrix.md
claude-code,dr_cross_deep_0043,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0043_matrix.score.json,answers/claude-code__dr_cross_deep_0043_matrix.md
deerflow,dr_cross_deep_0043,0.4931,0.0333,0.5183,13075,scores/deerflow__dr_cross_deep_0043_matrix.score.json,answers/deerflow__dr_cross_deep_0043_matrix.md
flowsearcher-ds,dr_cross_deep_0043,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0043_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0043_matrix.md
gpt-researcher,dr_cross_deep_0043,0.0,0.0,0.1358,6943,scores/gpt-researcher__dr_cross_deep_0043_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0043_matrix.md
ii-researcher,dr_cross_deep_0043,0.5267,0.0,0.47,7163,scores/ii-researcher__dr_cross_deep_0043_matrix.score.json,answers/ii-researcher__dr_cross_deep_0043_matrix.md
langchain-odr,dr_cross_deep_0043,0.0,0.0,0.1425,6004,scores/langchain-odr__dr_cross_deep_0043_matrix.score.json,answers/langchain-odr__dr_cross_deep_0043_matrix.md
ldr,dr_cross_deep_0043,0.0,0.0,0.1117,5483,scores/ldr__dr_cross_deep_0043_matrix.score.json,answers/ldr__dr_cross_deep_0043_matrix.md
opencode,dr_cross_deep_0043,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0043_matrix.score.json,answers/opencode__dr_cross_deep_0043_matrix.md
qx-agents,dr_cross_deep_0043,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0043_matrix.score.json,answers/qx-agents__dr_cross_deep_0043_matrix.md
smolagents,dr_cross_deep_0043,0.0,0.0,0.1092,3968,scores/smolagents__dr_cross_deep_0043_matrix.score.json,answers/smolagents__dr_cross_deep_0043_matrix.md
camel-ai,dr_cross_deep_0044,0.0,0.0,0.1342,6352,scores/camel-ai__dr_cross_deep_0044_matrix.score.json,answers/camel-ai__dr_cross_deep_0044_matrix.md
claude-code,dr_cross_deep_0044,0.0,0.0,0.0,56,scores/claude-code__dr_cross_deep_0044_matrix.score.json,answers/claude-code__dr_cross_deep_0044_matrix.md
deerflow,dr_cross_deep_0044,0.4646,0.0333,0.5,8423,scores/deerflow__dr_cross_deep_0044_matrix.score.json,answers/deerflow__dr_cross_deep_0044_matrix.md
